scene,frame_id,status,height,width,valid_pixels,valid_ratio,semantic_classes,thing_pixels,thing_ratio,renderer,class_counts_json
1ada7a0617,DSC03462,ok,1168,1752,2005941,0.9802598400262713,6,929217,0.4632324679539428,nvdiffrast_undistorted,"{""cabinet"": 550500, ""chair"": 94055, ""door"": 134234, ""floor"": 379330, ""wall"": 697394, ""whiteboard"": 150428}"
1ada7a0617,DSC03464,ok,1168,1752,1990902,0.9729106070557327,7,728946,0.3661385643291332,nvdiffrast_undistorted,"{""cabinet"": 526953, ""ceiling"": 80483, ""chair"": 61359, ""door"": 104087, ""floor"": 122627, ""wall"": 1058846, ""whiteboard"": 36547}"
1ada7a0617,DSC03466,ok,1168,1752,1902053,0.9294920286795522,5,747813,0.39316096870066186,nvdiffrast_undistorted,"{""cabinet"": 530136, ""ceiling"": 227930, ""door"": 133148, ""wall"": 926310, ""whiteboard"": 84529}"
1ada7a0617,DSC03467,ok,1168,1752,1880621,0.9190186753299556,5,684891,0.3641834266447094,nvdiffrast_undistorted,"{""cabinet"": 546372, ""ceiling"": 250141, ""door"": 130600, ""wall"": 945589, ""whiteboard"": 7919}"
1ada7a0617,DSC03469,ok,1168,1752,1931518,0.9438909348220429,5,836127,0.43288594773644357,nvdiffrast_undistorted,"{""cabinet"": 613484, ""ceiling"": 382929, ""door"": 81617, ""wall"": 712462, ""whiteboard"": 141026}"
1ada7a0617,DSC03471,ok,1168,1752,1932817,0.9445257279351974,9,994499,0.5145334503990807,nvdiffrast_undistorted,"{""cabinet"": 666601, ""ceiling"": 146450, ""chair"": 2746, ""door"": 75926, ""floor"": 80826, ""table"": 973, ""trash can"": 28438, ""wall"": 711042, ""whiteboard"": 219815}"
1ada7a0617,DSC03473,ok,1168,1752,1951645,0.9537265629886783,10,1185233,0.6072994832564323,nvdiffrast_undistorted,"{""cabinet"": 701003, ""ceiling"": 7629, ""chair"": 60860, ""door"": 64856, ""floor"": 240812, ""keyboard"": 4241, ""table"": 110426, ""trash can"": 8860, ""wall"": 517971, ""whiteboard"": 234987}"
1ada7a0617,DSC03475,ok,1168,1752,1943271,0.9496343708951023,10,1180741,0.6076049094542141,nvdiffrast_undistorted,"{""cabinet"": 454840, ""chair"": 60208, ""door"": 84062, ""floor"": 408807, ""keyboard"": 16012, ""monitor"": 77578, ""table"": 242439, ""trash can"": 9005, ""wall"": 353723, ""whiteboard"": 236597}"
1ada7a0617,DSC03476,ok,1168,1752,1961732,0.9586558610120723,11,1109987,0.565819897926934,nvdiffrast_undistorted,"{""blinds"": 18123, ""cabinet"": 301501, ""chair"": 48239, ""door"": 102299, ""floor"": 543780, ""keyboard"": 11358, ""monitor"": 131911, ""table"": 306816, ""trash can"": 7440, ""wall"": 289842, ""whiteboard"": 200423}"
1ada7a0617,DSC03478,ok,1168,1752,1979063,0.9671251446487771,12,797224,0.40282901554927764,nvdiffrast_undistorted,"{""blinds"": 240261, ""cabinet"": 283, ""ceiling"": 35221, ""chair"": 56554, ""door"": 99202, ""floor"": 287746, ""keyboard"": 21505, ""monitor"": 139225, ""table"": 325912, ""trash can"": 6396, ""wall"": 618611, ""whiteboard"": 148147}"
1ada7a0617,DSC03480,ok,1168,1752,1936921,0.9465312636829925,12,648220,0.33466517219855635,nvdiffrast_undistorted,"{""blinds"": 136985, ""cabinet"": 29383, ""ceiling"": 341365, ""chair"": 17583, ""door"": 228899, ""floor"": 60285, ""keyboard"": 3750, ""monitor"": 130505, ""table"": 63203, ""trash can"": 16364, ""wall"": 750066, ""whiteboard"": 158533}"
1ada7a0617,DSC03482,ok,1168,1752,1906595,0.9317116055232376,10,452813,0.23749826260952117,nvdiffrast_undistorted,"{""blinds"": 350350, ""cabinet"": 293, ""ceiling"": 359008, ""chair"": 11392, ""floor"": 14579, ""keyboard"": 6894, ""monitor"": 148001, ""table"": 103226, ""wall"": 729845, ""whiteboard"": 183007}"
1ada7a0617,DSC03484,ok,1168,1752,1942071,0.9490479569337587,9,855152,0.4403299364441362,nvdiffrast_undistorted,"{""blinds"": 330232, ""ceiling"": 132539, ""chair"": 24957, ""floor"": 111284, ""keyboard"": 40998, ""monitor"": 156805, ""table"": 212360, ""wall"": 512864, ""whiteboard"": 420032}"
1ada7a0617,DSC03485,ok,1168,1752,1968932,0.9621743447801339,9,909811,0.4620835051692999,nvdiffrast_undistorted,"{""blinds"": 384862, ""ceiling"": 9619, ""chair"": 23720, ""floor"": 194486, ""keyboard"": 31968, ""monitor"": 138482, ""table"": 306820, ""wall"": 470154, ""whiteboard"": 408821}"
1ada7a0617,DSC03487,ok,1168,1752,1969232,0.9623209482704698,9,826248,0.41957880026324984,nvdiffrast_undistorted,"{""blinds"": 272188, ""cabinet"": 503, ""chair"": 41530, ""floor"": 382112, ""keyboard"": 22865, ""monitor"": 128461, ""table"": 362785, ""wall"": 488684, ""whiteboard"": 270104}"
1ada7a0617,DSC03489,ok,1168,1752,1959034,0.9573374069556515,10,717739,0.3663739373589228,nvdiffrast_undistorted,"{""blinds"": 241283, ""cabinet"": 120, ""chair"": 118980, ""floor"": 782670, ""keyboard"": 12851, ""monitor"": 101216, ""table"": 266426, ""trash can"": 19347, ""wall"": 217342, ""whiteboard"": 198799}"
1ada7a0617,DSC03491,ok,1168,1752,2024587,0.9893717356289485,11,1134137,0.560181903766052,nvdiffrast_undistorted,"{""blinds"": 694, ""cabinet"": 345102, ""chair"": 119583, ""door"": 181049, ""floor"": 356872, ""keyboard"": 29312, ""monitor"": 26353, ""table"": 184112, ""trash can"": 11705, ""wall"": 532884, ""whiteboard"": 236921}"
1ada7a0617,DSC03493,ok,1168,1752,2032804,0.9933872052292487,8,1168016,0.5745836785051583,nvdiffrast_undistorted,"{""cabinet"": 514427, ""chair"": 49607, ""door"": 167805, ""floor"": 273918, ""table"": 101937, ""trash can"": 17510, ""wall"": 590870, ""whiteboard"": 316730}"
1ada7a0617,DSC03494,ok,1168,1752,2031617,0.9928071440858197,8,1111136,0.5469219838188005,nvdiffrast_undistorted,"{""cabinet"": 487917, ""chair"": 29711, ""door"": 192793, ""floor"": 261493, ""table"": 61932, ""trash can"": 20758, ""wall"": 658988, ""whiteboard"": 318025}"
1ada7a0617,DSC03496,ok,1168,1752,1988855,0.9719102825733409,7,823454,0.414034205610766,nvdiffrast_undistorted,"{""cabinet"": 61205, ""ceiling"": 115674, ""door"": 388136, ""floor"": 8145, ""trash can"": 16423, ""wall"": 1041582, ""whiteboard"": 357690}"
1ada7a0617,DSC03498,ok,1168,1752,1955288,0.9555068180396572,5,419928,0.21476529288779964,nvdiffrast_undistorted,"{""blinds"": 412, ""ceiling"": 189238, ""door"": 34701, ""wall"": 1345710, ""whiteboard"": 385227}"
1ada7a0617,DSC03500,ok,1168,1752,1956168,0.9559368549446425,9,708924,0.3624044560589888,nvdiffrast_undistorted,"{""blinds"": 275411, ""ceiling"": 178571, ""chair"": 12468, ""floor"": 67525, ""keyboard"": 2337, ""monitor"": 47088, ""table"": 68198, ""wall"": 725737, ""whiteboard"": 578833}"
1ada7a0617,DSC03502,ok,1168,1752,1927668,0.9420095233627322,10,913853,0.4740717799953104,nvdiffrast_undistorted,"{""blinds"": 371832, ""cabinet"": 3193, ""ceiling"": 190781, ""chair"": 21175, ""floor"": 74533, ""keyboard"": 2750, ""monitor"": 67134, ""table"": 110265, ""wall"": 376669, ""whiteboard"": 709336}"
1ada7a0617,DSC03503,ok,1168,1752,1909903,0.9333281533433415,10,851783,0.445982335228543,nvdiffrast_undistorted,"{""blinds"": 313416, ""cabinet"": 10447, ""ceiling"": 198177, ""chair"": 19802, ""floor"": 90815, ""keyboard"": 26724, ""monitor"": 130945, ""table"": 154106, ""wall"": 455712, ""whiteboard"": 509759}"
1ada7a0617,DSC03505,ok,1168,1752,1936680,0.9464134922124225,10,590412,0.3048577978809096,nvdiffrast_undistorted,"{""blinds"": 303845, ""cabinet"": 10125, ""ceiling"": 254265, ""chair"": 99554, ""floor"": 152098, ""keyboard"": 12380, ""monitor"": 48215, ""table"": 180735, ""wall"": 636060, ""whiteboard"": 239403}"
1ada7a0617,DSC03507,ok,1168,1752,1900090,0.9285327531744543,10,708205,0.37272181844017915,nvdiffrast_undistorted,"{""blinds"": 275619, ""cabinet"": 297800, ""ceiling"": 263002, ""chair"": 87159, ""floor"": 182836, ""keyboard"": 10736, ""monitor"": 50148, ""table"": 167111, ""wall"": 470428, ""whiteboard"": 95251}"
1ada7a0617,DSC03509,ok,1168,1752,1980964,0.9680541220992056,11,907731,0.4582269036691227,nvdiffrast_undistorted,"{""blinds"": 94110, ""cabinet"": 485121, ""ceiling"": 115281, ""chair"": 77795, ""door"": 111978, ""floor"": 270306, ""keyboard"": 12127, ""monitor"": 51409, ""table"": 76179, ""wall"": 593536, ""whiteboard"": 93122}"
1ada7a0617,DSC03511,ok,1168,1752,2022479,0.9883416017701883,8,1172165,0.5795684405128557,nvdiffrast_undistorted,"{""cabinet"": 363505, ""chair"": 118683, ""door"": 522917, ""floor"": 307890, ""monitor"": 10, ""table"": 6430, ""wall"": 542424, ""whiteboard"": 160620}"
1ada7a0617,DSC03513,ok,1168,1752,2016130,0.9852389832363796,8,1146657,0.5687415990040324,nvdiffrast_undistorted,"{""cabinet"": 415039, ""ceiling"": 7266, ""chair"": 113648, ""door"": 447610, ""floor"": 248819, ""table"": 7124, ""wall"": 613388, ""whiteboard"": 163236}"
1ada7a0617,DSC03514,ok,1168,1752,1993524,0.9741919215612685,8,1045231,0.5243132262265214,nvdiffrast_undistorted,"{""cabinet"": 360932, ""ceiling"": 164117, ""chair"": 50899, ""door"": 457304, ""floor"": 131570, ""table"": 4485, ""wall"": 652606, ""whiteboard"": 171611}"
1ada7a0617,DSC03516,ok,1168,1752,1947718,0.9518075233001814,10,817406,0.4196736899284188,nvdiffrast_undistorted,"{""blinds"": 211507, ""cabinet"": 451815, ""ceiling"": 416793, ""chair"": 60226, ""floor"": 88362, ""keyboard"": 15758, ""monitor"": 81090, ""table"": 117393, ""wall"": 413650, ""whiteboard"": 91124}"
1ada7a0617,DSC03518,ok,1168,1752,1968369,0.9618992188966035,10,684108,0.34755068790455446,nvdiffrast_undistorted,"{""blinds"": 206986, ""cabinet"": 7183, ""ceiling"": 220014, ""chair"": 99587, ""floor"": 262633, ""keyboard"": 7588, ""monitor"": 37218, ""table"": 100878, ""wall"": 594628, ""whiteboard"": 431654}"
1ada7a0617,DSC03520,ok,1168,1752,1991166,0.9730396181272284,11,768874,0.38614259182810473,nvdiffrast_undistorted,"{""blinds"": 246589, ""cabinet"": 6554, ""ceiling"": 66165, ""chair"": 126704, ""floor"": 414300, ""keyboard"": 7676, ""monitor"": 45454, ""table"": 94549, ""trash can"": 10728, ""wall"": 495238, ""whiteboard"": 477209}"
1ada7a0617,DSC03522,ok,1168,1752,1997932,0.976346015512604,11,877032,0.4389698948712969,nvdiffrast_undistorted,"{""blinds"": 291878, ""cabinet"": 9467, ""ceiling"": 11622, ""chair"": 130124, ""floor"": 388822, ""keyboard"": 9695, ""monitor"": 58334, ""table"": 122539, ""trash can"": 18001, ""wall"": 428578, ""whiteboard"": 528872}"
1ada7a0617,DSC03523,ok,1168,1752,1996222,0.9755103756176894,11,872492,0.43707162830586976,nvdiffrast_undistorted,"{""blinds"": 282606, ""cabinet"": 9489, ""ceiling"": 39311, ""chair"": 133077, ""floor"": 362935, ""keyboard"": 9894, ""monitor"": 56414, ""table"": 130391, ""trash can"": 2952, ""wall"": 438878, ""whiteboard"": 530275}"
1ada7a0617,DSC03525,ok,1168,1752,1950647,0.9532388620441609,10,838172,0.4296892261900795,nvdiffrast_undistorted,"{""blinds"": 244548, ""cabinet"": 9940, ""ceiling"": 282756, ""chair"": 18068, ""floor"": 68028, ""keyboard"": 32231, ""monitor"": 102589, ""table"": 158796, ""wall"": 517143, ""whiteboard"": 516548}"
1ada7a0617,DSC03527,ok,1168,1752,1970243,0.9628150020329017,6,336872,0.170979924811305,nvdiffrast_undistorted,"{""blinds"": 422908, ""ceiling"": 617341, ""chair"": 2217, ""monitor"": 25608, ""wall"": 593122, ""whiteboard"": 309047}"
1ada7a0617,DSC03529,ok,1168,1752,1964011,0.959769558860324,5,546182,0.2780951837846122,nvdiffrast_undistorted,"{""blinds"": 386523, ""ceiling"": 474934, ""chair"": 2823, ""wall"": 556372, ""whiteboard"": 543359}"
1ada7a0617,DSC03531,ok,1168,1752,1936304,0.9462297491712016,5,565992,0.2923053404837257,nvdiffrast_undistorted,"{""blinds"": 325254, ""ceiling"": 495247, ""chair"": 3975, ""wall"": 549811, ""whiteboard"": 562017}"
1ada7a0617,DSC03532,ok,1168,1752,1917914,0.937242955213611,5,532432,0.2776099449714638,nvdiffrast_undistorted,"{""blinds"": 291421, ""ceiling"": 490205, ""chair"": 3499, ""wall"": 603856, ""whiteboard"": 528933}"
1ada7a0617,DSC03534,ok,1168,1752,1848220,0.9031850096953775,4,300558,0.16262025083593945,nvdiffrast_undistorted,"{""blinds"": 157918, ""ceiling"": 716843, ""wall"": 672901, ""whiteboard"": 300558}"
1ada7a0617,DSC03536,ok,1168,1752,1834593,0.8965257904860199,4,152226,0.08297535202630774,nvdiffrast_undistorted,"{""blinds"": 293290, ""ceiling"": 947667, ""wall"": 441410, ""whiteboard"": 152226}"
1ada7a0617,DSC03538,ok,1168,1752,1979252,0.9672175048476888,6,287452,0.14523264344307849,nvdiffrast_undistorted,"{""blinds"": 437897, ""ceiling"": 743099, ""chair"": 1293, ""monitor"": 15841, ""wall"": 510804, ""whiteboard"": 270318}"
